origin,displacement_type,time,displaced_population
arm,internally_displaced_persons,1997,72000
arm,others_of_concern,1998,426
arm,others_of_concern,2009,82231
arm,others_of_concern,2010,82519
arm,others_of_concern,2011,82938
arm,others_of_concern,2013,11
arm,others_of_concern,2014,13
arm,others_of_concern,2015,14
arm,others_of_concern,2016,12
arm,others_of_concern,2017,8
arm,others_of_concern,2018,5
arm,refugees,1964,170
arm,refugees,1968,200
arm,refugees,1969,200
arm,refugees,1970,200
arm,refugees,1971,4070
arm,refugees,1972,3500
arm,refugees,1977,440
arm,refugees,1978,420
arm,refugees,1979,700
arm,refugees,1980,333
arm,refugees,1981,333
arm,refugees,1982,733
arm,refugees,1983,333
arm,refugees,1984,333
arm,refugees,1985,333
arm,refugees,1986,528
arm,refugees,1987,208
arm,refugees,1988,301
arm,refugees,1989,1
arm,refugees,1990,1
arm,refugees,1991,1
arm,refugees,1992,195003
arm,refugees,1993,200116
arm,refugees,1994,201842
arm,refugees,1995,201442
arm,refugees,1996,203231
arm,refugees,1997,203690
arm,refugees,1998,193150
arm,refugees,1999,193231
arm,refugees,2000,5786
arm,refugees,2001,7207
arm,refugees,2002,13249
arm,refugees,2003,13162
arm,refugees,2004,13410
arm,refugees,2005,13965
arm,refugees,2006,14917
arm,refugees,2007,15436
arm,refugees,2008,16336
arm,refugees,2009,18000
arm,refugees,2010,17547
arm,refugees,2011,16487
arm,refugees,2012,15935
arm,refugees,2013,11998
arm,refugees,2014,11848
arm,refugees,2015,11214
arm,refugees,2016,10719
arm,refugees,2017,10766
arm,refugees,2018,11020
arm,returned_refugees,1995,1
arm,returned_refugees,1996,14
arm,returned_refugees,1998,5
arm,returned_refugees,2001,1
arm,returned_refugees,2008,1
arm,returned_refugees,2012,1
arm,returned_refugees,2014,5
asm,asylum_seekers,2016,3
atg,asylum_seekers,2000,8
atg,asylum_seekers,2001,9
atg,asylum_seekers,2002,41
atg,asylum_seekers,2003,26
atg,asylum_seekers,2004,15
atg,asylum_seekers,2005,11
atg,asylum_seekers,2006,9
atg,asylum_seekers,2008,26
atg,asylum_seekers,2009,42
atg,asylum_seekers,2010,31
atg,asylum_seekers,2011,33
atg,asylum_seekers,2012,34
atg,asylum_seekers,2013,29
atg,asylum_seekers,2014,17
atg,asylum_seekers,2015,12
atg,asylum_seekers,2016,32
atg,asylum_seekers,2017,54
atg,asylum_seekers,2018,49
atg,refugees,1997,1
atg,refugees,1998,2
atg,refugees,1999,2
atg,refugees,2000,1
atg,refugees,2001,4
atg,refugees,2002,5
atg,refugees,2003,5
atg,refugees,2004,13
atg,refugees,2005,13
atg,refugees,2006,19
atg,refugees,2007,25
atg,refugees,2008,26
atg,refugees,2009,28
atg,refugees,2010,30
atg,refugees,2011,32
atg,refugees,2012,45
atg,refugees,2013,49
atg,refugees,2014,53
atg,refugees,2015,56
atg,refugees,2016,83
atg,refugees,2017,94
atg,refugees,2018,97
aus,asylum_seekers,2000,4
aus,asylum_seekers,2001,11
aus,asylum_seekers,2002,15
aus,asylum_seekers,2003,7
aus,asylum_seekers,2004,12
aus,asylum_seekers,2005,4
aus,asylum_seekers,2006,7
aus,asylum_seekers,2007,1
aus,asylum_seekers,2008,10
aus,asylum_seekers,2009,11
aus,asylum_seekers,2010,10
aus,asylum_seekers,2011,8
aus,asylum_seekers,2012,9
aus,asylum_seekers,2013,12
aus,asylum_seekers,2014,7
aus,asylum_seekers,2015,5
aus,asylum_seekers,2016,15
aus,asylum_seekers,2017,4
aus,asylum_seekers,2018,18
aus,refugees,1994,2
aus,refugees,1995,1
aus,refugees,1996,1
aus,refugees,1997,2
aus,refugees,1998,1
aus,refugees,1999,3
aus,refugees,2000,3
aus,refugees,2001,1
aus,refugees,2002,10
aus,refugees,2003,15
aus,refugees,2004,13
aus,refugees,2005,44
aus,refugees,2006,29
aus,refugees,2007,63
aus,refugees,2008,43
aus,refugees,2009,28
aus,refugees,2010,37
aus,refugees,2011,39
aus,refugees,2012,48
aus,refugees,2013,28
aus,refugees,2014,25
aus,refugees,2015,20
aus,refugees,2016,14
aus,refugees,2017,8
aut,asylum_seekers,2000,4
aut,asylum_seekers,2001,4
aut,asylum_seekers,2002,12
aut,asylum_seekers,2003,11
aut,asylum_seekers,2004,5
aut,asylum_seekers,2005,4
aut,asylum_seekers,2006,16
aut,asylum_seekers,2007,6
aut,asylum_seekers,2008,2
aut,asylum_seekers,2009,2
aut,asylum_seekers,2010,3
aut,asylum_seekers,2011,2
aut,asylum_seekers,2012,6
aut,asylum_seekers,2013,9
aut,asylum_seekers,2014,4
aut,asylum_seekers,2015,4
aut,asylum_seekers,2016,6
aut,asylum_seekers,2017,23
aut,refugees,1994,60
aut,refugees,1995,49
aut,refugees,1996,52
aut,refugees,1997,55
aut,refugees,1998,60
aut,refugees,1999,48
aut,refugees,2000,35
aut,refugees,2001,29
aut,refugees,2002,72
aut,refugees,2003,66
aut,refugees,2004,47
aut,refugees,2005,66
aut,refugees,2006,34
aut,refugees,2007,23
aut,refugees,2008,14
aut,refugees,2009,12
aut,refugees,2010,10
aut,refugees,2011,11
aut,refugees,2012,12
aut,refugees,2013,10
aut,refugees,2014,10
aut,refugees,2015,4
aut,refugees,2016,6
aut,refugees,2017,4
aut,refugees,2018,14
aze,asylum_seekers,2000,5285
aze,asylum_seekers,2001,5746
aze,asylum_seekers,2002,4999
aze,asylum_seekers,2003,4630
aze,asylum_seekers,2004,3951
aze,asylum_seekers,2005,4125
aze,asylum_seekers,2006,3098
aze,asylum_seekers,2007,1902
aze,asylum_seekers,2008,1872
aze,asylum_seekers,2009,2470
aze,asylum_seekers,2010,2072
aze,asylum_seekers,2011,2193
aze,asylum_seekers,2012,2193
aze,asylum_seekers,2013,3622
aze,asylum_seekers,2014,4584
aze,asylum_seekers,2015,5230
aze,asylum_seekers,2016,8097
aze,asylum_seekers,2017,9545
aze,asylum_seekers,2018,9297
aze,internally_displaced_persons,1993,778000
aze,internally_displaced_persons,1994,663100
aze,internally_displaced_persons,1995,622100
aze,internally_displaced_persons,1996,549030
aze,internally_displaced_persons,1997,551077
aze,internally_displaced_persons,1998,576321
aze,internally_displaced_persons,1999,569550
aze,internally_displaced_persons,2000,572451
aze,internally_displaced_persons,2001,572955
aze,internally_displaced_persons,2002,577179
aze,internally_displaced_persons,2003,575609
aze,internally_displaced_persons,2004,578545
aze,internally_displaced_persons,2005,578545
aze,internally_displaced_persons,2006,686586
aze,internally_displaced_persons,2007,686586
aze,internally_displaced_persons,2008,603251
aze,internally_displaced_persons,2009,586013
aze,internally_displaced_persons,2010,592860
aze,internally_displaced_persons,2011,599192
aze,internally_displaced_persons,2012,600336
aze,internally_displaced_persons,2013,609029
aze,internally_displaced_persons,2014,622892
aze,internally_displaced_persons,2015,618220
aze,internally_displaced_persons,2016,613129
aze,internally_displaced_persons,2017,612785
aze,internally_displaced_persons,2018,620422
aze,others_of_concern,1998,618
aze,others_of_concern,2013,1
aze,others_of_concern,2014,1
aze,others_of_concern,2016,1
aze,refugees,1992,300000
aze,refugees,1993,328005
aze,refugees,1994,299095
aze,refugees,1995,200520
aze,refugees,1996,236086
aze,refugees,1997,234950
aze,refugees,1998,329657
aze,refugees,1999,311131
aze,refugees,2000,284277
aze,refugees,2001,268759
aze,refugees,2002,260214
aze,refugees,2003,253255
aze,refugees,2004,250589
aze,refugees,2005,233675
aze,refugees,2006,126068
aze,refugees,2007,15916
aze,refugees,2008,16319
aze,refugees,2009,16939
aze,refugees,2010,16753
aze,refugees,2011,16162
aze,refugees,2012,15537
aze,refugees,2013,10814
aze,refugees,2014,10515
aze,refugees,2015,9710
aze,refugees,2016,10112
aze,refugees,2017,10882
aze,refugees,2018,11226
aze,returned_refugees,1994,29000
aze,returned_refugees,1995,39000
aze,returned_refugees,1996,11
aze,returned_refugees,1999,38
aze,returned_refugees,2000,27
aze,returned_refugees,2001,17
aze,returned_refugees,2005,1
aze,returned_refugees,2006,1
aze,returned_refugees,2009,1
bdi,asylum_seekers,2000,3630
bdi,asylum_seekers,2001,3928
bdi,asylum_seekers,2002,7445
bdi,asylum_seekers,2003,8061
bdi,asylum_seekers,2004,7860
bdi,asylum_seekers,2005,8268
bdi,asylum_seekers,2006,5527
bdi,asylum_seekers,2007,7057
bdi,asylum_seekers,2008,6645
bdi,asylum_seekers,2009,4864
bdi,asylum_seekers,2010,7511
bdi,asylum_seekers,2011,9508
bdi,asylum_seekers,2012,12968
bdi,asylum_seekers,2013,14399
bdi,asylum_seekers,2014,19376
bdi,asylum_seekers,2015,26865
bdi,asylum_seekers,2016,24400
bdi,asylum_seekers,2017,60426
bdi,asylum_seekers,2018,53350
bdi,internally_displaced_persons,1994,89900
bdi,internally_displaced_persons,1995,216400
bdi,internally_displaced_persons,1996,882900
bdi,internally_displaced_persons,1997,586083
bdi,internally_displaced_persons,1998,100000
bdi,internally_displaced_persons,1999,50000
bdi,internally_displaced_persons,2000,56000
bdi,internally_displaced_persons,2001,20000
bdi,internally_displaced_persons,2002,100000
bdi,internally_displaced_persons,2003,1970
bdi,internally_displaced_persons,2004,855
bdi,internally_displaced_persons,2005,11500
bdi,internally_displaced_persons,2006,13850
bdi,internally_displaced_persons,2008,100000
bdi,internally_displaced_persons,2009,100000
bdi,internally_displaced_persons,2010,157167
bdi,internally_displaced_persons,2011,78796
bdi,internally_displaced_persons,2012,78948
bdi,internally_displaced_persons,2013,78948
bdi,internally_displaced_persons,2014,78948
bdi,internally_displaced_persons,2015,25000
bdi,internally_displaced_persons,2016,141221
bdi,internally_displaced_persons,2017,57258
bdi,internally_displaced_persons,2018,31908
bdi,others_of_concern,2000,10
bdi,others_of_concern,2011,162506
bdi,others_of_concern,2012,162555
bdi,others_of_concern,2013,162259
bdi,others_of_concern,2014,162901
bdi,others_of_concern,2015,164018
bdi,others_of_concern,2016,164066
bdi,others_of_concern,2017,164205
bdi,others_of_concern,2018,14148
bdi,refugees,1965,3000
bdi,refugees,1966,250
bdi,refugees,1972,129000
bdi,refugees,1973,131895
bdi,refugees,1974,120880
bdi,refugees,1975,141940
bdi,refugees,1976,152320
bdi,refugees,1977,153550
bdi,refugees,1978,148180
bdi,refugees,1979,151680
bdi,refugees,1980,169772
bdi,refugees,1981,182952
bdi,refugees,1982,176272
bdi,refugees,1983,176552
bdi,refugees,1984,182912
bdi,refugees,1985,199812
bdi,refugees,1986,210621
bdi,refugees,1987,186911
bdi,refugees,1988,190154
bdi,refugees,1989,191443
bdi,refugees,1990,191622
bdi,refugees,1991,223946
bdi,refugees,1992,184135
bdi,refugees,1993,871382
bdi,refugees,1994,389706
bdi,refugees,1995,350582
bdi,refugees,1996,428680
bdi,refugees,1997,519123
bdi,refugees,1998,502568
bdi,refugees,1999,527449
bdi,refugees,2000,568084
bdi,refugees,2001,553999
bdi,refugees,2002,574557
bdi,refugees,2003,531637
bdi,refugees,2004,485767
bdi,refugees,2005,438706
bdi,refugees,2006,396541
bdi,refugees,2007,375727
bdi,refugees,2008,281592
bdi,refugees,2009,94239
bdi,refugees,2010,84064
bdi,refugees,2011,101288
bdi,refugees,2012,73363
bdi,refugees,2013,72647
bdi,refugees,2014,72493
bdi,refugees,2015,292764
bdi,refugees,2016,408085
bdi,refugees,2017,439292
bdi,refugees,2018,387815
bdi,returned_idps,1999,5000
bdi,returned_idps,2001,42000
bdi,returned_idps,2015,1144
bdi,returned_refugees,1965,1000
bdi,returned_refugees,1978,400
bdi,returned_refugees,1980,310
bdi,returned_refugees,1981,50
bdi,returned_refugees,1983,130
bdi,returned_refugees,1984,50
bdi,returned_refugees,1988,53000
